"User-ID";"Location";"Age"
"2";"stockton, california, usa";"18"
"7";"washington, dc, usa";NULL
"8";"timmins, ontario, canada";NULL
"9";"germantown, tennessee, usa";NULL
"10";"albacete, wisconsin, spain";"26"
"12";"fort bragg, california, usa";NULL
"14";"mediapolis, iowa, usa";NULL
"16";"albuquerque, new mexico, usa";NULL
"17";"chesapeake, virginia, usa";NULL
"19";"weston, ,";"14"
"20";"langhorne, pennsylvania, usa";"19"
"22";"erfurt, thueringen, germany";NULL
"23";"philadelphia, pennsylvania, usa";NULL
"26";"bellevue, washington, usa";NULL
"32";"portland, oregon, usa";NULL
"36";"montreal, quebec, canada";"24"
"38";"viterbo, lazio, italy";"34"
"39";"cary, north carolina, usa";NULL
"42";"appleton, wisconsin, usa";"17"
"44";"black mountain, north carolina, usa";"51"
"51";"renton, washington, usa";"34"
"53";"tacoma, washington, usa";NULL
"56";"cheyenne, wyoming, usa";"24"
"64";"lyon, rhone, france";"32"
"67";"framingham, massachusetts, usa";"43"
"68";"montreal, quebec, canada";NULL
"69";"vancouver, british columbia, canada";NULL
"70";"rochester, new york, usa";"44"
"73";"wentzville, missouri, usa";NULL
"75";"long beach, california, usa";"37"
"77";"vancouver, british columbia, canada";NULL
"78";"oakland, california, usa";"18"
"79";"ottawa, ontario, canada";"20"
"81";"santa cruz, california, usa";NULL
"82";"del mar, california, usa";NULL
"83";"eugene, oregon, usa";NULL
"85";"london, england, united kingdom";"41"
"86";"los angeles, california, usa";NULL
"87";"richardson, texas, usa";NULL
"88";"fayetteville, georgia, usa";NULL
"91";"toronto/newmarket, ,";NULL
"92";"castellar del valles, barcelona, spain";"20"
"95";"grand island, new york, usa";NULL
"97";"mechanicsburg, pennsylvania, usa";NULL
"99";"franktown, colorado, usa";"42"
"100";"madrid, n/a, spain";"44"
"102";"barcelona, n/a, spain";NULL
"107";"lethbridge, alberta, canada";NULL
"109";"muncie, indiana, usa";"20"
"110";"peoira, illinois, usa";NULL
"114";"ligonier, pennsylvania, usa";"57"
"125";"lansing, michigan, usa";"49"
"129";"bloomington, minnesota, usa";"47"
"132";"silver spring, maryland, usa";"38"
"133";"jacksonville, florida, usa";"45"
"135";"berkshire, new york, usa";NULL
"137";"vancouver, british columbia, canada";NULL
"139";"baltimore, maryland, usa";"35"
"141";"darien, new york, usa";NULL
"144";"cape girardeau, missouri, usa";"62"
